beneficiary_id,partner_id,gender,age,category,education_level,family_size,dependents_count,marital_status,rural_urban,state,district,annual_family_income,income_source,bpl_status,land_owned_acres,bank_account_status,bank_name,account_type,loan_id,loan_scheme,loan_amount,subsidy_amount,interest_rate,tenure_months,emi_amount,loan_start_date,loan_end_date,collateral_required,guarantor_present,loan_purpose,sector,business_age,repayment_id,total_emis,emis_paid,emis_pending,on_time_emis,late_payments,missed_payments,average_delay_days,max_delay_days,current_outstanding,default_status,last_payment_date,risk_score
BEN1984,CP04,Male,48,OBC,10th,2,1,Married,Rural,Chhattisgarh,Bilaspur,141864,FoodBusiness,Yes,3.4,Yes,PNB,JanDhan,LN1984_2,StartupLoan,425592,93630,7.7,82,6691,21-04-2025,25-06-2025,Yes,Yes,GeneralPurpose,Others,0,RP1984_2,82,82,0,82,0,0,17,72,0,No,19-08-2025,32.30833051
BEN2021,CP08,Male,38,General,8th,3,2,Married,Rural,UP,Ballia,81931,Farming,Yes,1.5,Yes,UnionBank,JanDhan,LN2021_1,StartupLoan,245793,54074,5.3,82,3579,19-04-2024,29-09-2024,Yes,Yes,GeneralPurpose,Others,0,RP2021_1,82,82,0,82,0,0,34,33,0,No,15-12-2024,31.30832398
BEN4440,CP05,Female,40,SC,8th,3,2,Married,Urban,Bihar,Gaya,125028,Dairy,Yes,0,Yes,PNB,Savings,LN4440_2,EducationLoan,189561,53077,5,81,2762,27-12-2022,14-09-2023,No,No,Certification,Education,0,RP4440_2,81,81,0,81,0,0,0,19,0,No,12-10-2025,36.48333122
BEN1482,CP15,Female,21,SC,10th,4,0,Single,Rural,Odisha,Koraput,50988,BeautyParlor,Yes,0.5,Yes,SBI,Savings,LN1482_2,StartupLoan,152964,45889,5.7,80,2302,17-01-2023,02-06-2023,No,Yes,GeneralPurpose,Others,0,RP1482_2,80,80,0,80,0,0,21,62,0,No,07-11-2024,35.87499346
BEN4634,CP13,Male,31,ST,10th,7,5,Married,Rural,Chhattisgarh,Durg,58473,Dairy,Yes,2.5,Yes,BankOfBaroda,JanDhan,LN4634_1,StartupLoan,175419,47363,7.4,80,2784,12-06-2023,30-10-2023,No,Yes,GeneralPurpose,Others,0,RP4634_1,80,80,0,80,0,0,27,44,0,No,04-10-2024,33.43332963
BEN0109,CP01,Male,34,General,10th,4,3,Married,Rural,Delhi,South,112205,Labour,No,1.2,Yes,Canara,Savings,LN0109_2,EducationLoan,99300,16881,4.3,80,1429,14-01-2024,05-11-2024,No,Yes,Certification,Education,0,RP0109_2,80,80,0,80,0,0,5,5,0,No,05-10-2025,20.49153967
BEN4311,CP01,Male,23,General,10th,7,3,Married,Rural,MP,Betul,73377,Agriculture,Yes,0.7,Yes,BankOfBaroda,JanDhan,LN4311_1,EducationLoan,152352,33517,5.2,79,2281,22-08-2025,02-10-2025,No,No,VocationalTraining,Education,0,RP4311_1,79,79,0,79,0,0,15,89,0,No,21-09-2025,37.26665223
BEN2921,CP09,Male,61,General,8th,5,2,Married,Rural,Jharkhand,Jamshedpur,71201,FoodBusiness,Yes,0.2,Yes,HDFC,Savings,LN2921_2,EducationLoan,46449,10218,4.4,79,678,03-10-2025,21-10-2025,No,No,Certification,Education,0,RP2921_2,79,79,0,79,0,0,0,0,0,No,,28.4568937
BEN1450,CP06,Male,46,ST,12th,3,1,Married,Rural,Delhi,Central,101065,Tailoring,No,0.1,Yes,PNB,Savings,LN1450_1,StartupLoan,303195,66702,7.2,79,4830,28-07-2024,25-07-2025,Yes,Yes,GeneralPurpose,Others,0,RP1450_1,79,79,0,79,0,0,2,3,0,No,21-10-2025,26.09998516
BEN2361,CP01,Female,19,OBC,8th,5,4,Married,Rural,Odisha,Rourkela,31267,BeautyParlor,Yes,0.3,Yes,PNB,JanDhan,LN2361_1,StartupLoan,93801,23450,5.6,78,1437,18-06-2024,04-08-2025,No,Yes,GeneralPurpose,Others,0,RP2361_1,78,78,0,78,0,0,31,79,0,No,14-05-2025,35.58332001
BEN0500,CP01,Male,49,SC,8th,5,1,Married,Urban,Chhattisgarh,Durg,191029,Dairy,No,0,Yes,Axis,JanDhan,LN0500_1,StartupLoan,481785,96357,7.9,78,7917,28-08-2024,30-07-2025,Yes,Yes,GeneralPurpose,Others,0,RP0500_1,78,78,0,78,0,0,15,58,0,No,26-03-2025,29.29166667
BEN4222,CP12,Male,18,General,8th,4,0,Married,Rural,Jharkhand,Ranchi,42547,Coaching,Yes,2.1,Yes,Canara,JanDhan,LN4222_1,StartupLoan,127641,28081,5.8,76,2010,29-06-2023,15-08-2023,No,No,GeneralPurpose,Others,0,RP4222_1,76,76,0,76,0,0,29,57,0,No,19-01-2025,37.51666588
BEN1982,CP10,Female,62,SC,8th,7,4,Married,Rural,Delhi,North,121347,Coaching,No,6.2,Yes,PNB,JanDhan,LN1982_2,StartupLoan,364041,91010,8,76,6121,09-08-2024,17-07-2025,Yes,No,GeneralPurpose,Others,0,RP1982_2,76,76,0,76,0,0,40,79,0,No,07-12-2024,32.5833299
BEN2866,CP01,Female,56,ST,8th,5,0,Married,Rural,MP,Betul,62006,Tailoring,Yes,2.5,Yes,HDFC,JanDhan,LN2866_2,EducationLoan,186018,55805,4.3,76,2800,01-06-2025,19-06-2025,No,Yes,SkillCourse,Education,0,RP2866_2,76,76,0,76,0,0,9,28,0,No,29-10-2025,32.29165592
BEN1911,CP01,Male,61,General,8th,6,3,Married,Rural,Maharashtra,Pune,59754,FoodBusiness,Yes,2.6,Yes,HDFC,Savings,LN1911_1,StartupLoan,166674,36668,7.7,74,2836,05-06-2023,14-04-2025,No,No,GeneralPurpose,Others,0,RP1911_1,74,74,0,74,0,0,13,22,0,No,21-11-2025,38.30832493
BEN0981,CP19,Female,33,OBC,5th,7,2,Married,Urban,Delhi,Central,62877,Tailoring,Yes,0,Yes,ICICI,Savings,LN0981_2,StartupLoan,188631,43385,5.6,74,3020,04-09-2023,24-10-2024,No,Yes,GeneralPurpose,Others,0,RP0981_2,74,74,0,74,0,0,31,65,0,No,28-09-2024,35.48332989
BEN4357,CP19,Male,51,ST,5th,6,3,Married,Urban,UP,Ballia,110472,Farming,No,0,Yes,ICICI,Savings,LN4357_2,EducationLoan,49999,9999,3.5,74,752,17-03-2024,12-08-2024,No,Yes,SkillCourse,Education,0,RP4357_2,74,74,0,74,0,0,4,3,0,No,07-11-2025,18.98419656
BEN4175,CP12,Male,40,OBC,12th,6,3,Married,Rural,Odisha,Rourkela,158094,Trading,No,1,Yes,ICICI,JanDhan,LN4175_1,EducationLoan,66806,11357,4.4,74,1032,08-06-2023,31-01-2024,No,Yes,Certification,Education,0,RP4175_1,74,74,0,74,0,0,30,63,0,No,31-08-2024,14.90904565
BEN1661,CP16,Male,44,General,8th,3,2,Married,Rural,Delhi,Central,97120,Coaching,Yes,0.4,Yes,UnionBank,JanDhan,LN1661_1,StartupLoan,291360,64099,7,73,4912,04-08-2024,12-09-2024,Yes,Yes,GeneralPurpose,Others,0,RP1661_1,73,73,0,73,0,0,4,9,0,No,28-10-2025,32.01666323
BEN3931,CP10,Male,30,General,10th,5,4,Married,Urban,Rajasthan,Bikaner,168416,FoodBusiness,No,0,Yes,SBI,Savings,LN3931_1,StartupLoan,505248,75787,5.6,73,8182,10-07-2025,28-09-2025,Yes,Yes,GeneralPurpose,Others,0,RP3931_1,73,73,0,73,0,0,0,0,0,No,08-09-2025,28.08333135
BEN4671,CP13,Female,18,General,10th,6,1,Married,Urban,Jharkhand,Bokaro,80839,Manufacturing,Yes,0,Yes,HDFC,Savings,LN4671_2,EducationLoan,67868,15609,4.4,72,1074,27-08-2023,17-06-2025,No,Yes,CollegeFee,Education,0,RP4671_2,72,72,0,72,0,0,6,22,0,No,15-10-2025,30.37873887
BEN1864,CP04,Male,24,General,5th,8,1,Married,Urban,Gujarat,Vadodara,90030,Trading,Yes,0,Yes,BankOfBaroda,JanDhan,LN1864_2,DairyLoan,270090,54018,5.4,71,4452,19-03-2024,31-12-2024,Yes,Yes,DairyEquipment,Agriculture,0,RP1864_2,71,71,0,71,0,0,44,37,0,No,14-11-2024,37.25
BEN0203,CP18,Male,56,OBC,5th,8,0,Married,Urban,Maharashtra,Aurangabad,83545,Manufacturing,Yes,0,Yes,Axis,JanDhan,LN0203_1,DairyLoan,250635,50127,5.4,70,4181,01-05-2024,15-02-2025,Yes,Yes,CattlePurchase,Agriculture,0,RP0203_1,70,70,0,70,0,0,31,72,0,No,26-01-2025,34.25
BEN0614,CP01,Male,52,ST,8th,7,0,Married,Rural,Gujarat,Rajkot,96953,Trading,Yes,2,Yes,IndianBank,Savings,LN0614_1,DairyLoan,274068,73998,5.6,70,4598,27-03-2025,01-08-2025,Yes,No,FeedPurchase,Agriculture,0,RP0614_1,70,70,0,70,0,0,17,62,0,No,24-08-2025,33.68332677
BEN2024,CP20,Male,24,SC,10th,7,3,Single,Rural,Odisha,Koraput,88377,Trading,Yes,0.5,Yes,BankOfBaroda,Savings,LN2024_1,DairyLoan,142275,38414,4.8,69,2363,31-08-2023,25-02-2025,No,Yes,Infrastructure,Agriculture,0,RP2024_1,69,69,0,69,0,0,5,15,0,No,18-11-2025,35.34999121
BEN2578,CP11,Female,35,OBC,8th,7,3,Married,Rural,UP,Varanasi,93143,FoodBusiness,Yes,1.2,Yes,UnionBank,JanDhan,LN2578_1,DairyLoan,279429,69857,5.7,69,4759,22-12-2023,03-06-2024,Yes,Yes,Infrastructure,Agriculture,0,RP2578_1,69,69,0,69,0,0,2,6,0,No,12-09-2025,31.62499553
BEN4176,CP14,Male,21,General,10th,8,5,Married,Rural,UP,Kanpur,88869,BeautyParlor,Yes,0.8,Yes,BOI,JanDhan,LN4176_2,StartupLoan,266607,58653,6.7,68,4722,10-06-2023,08-03-2024,Yes,Yes,GeneralPurpose,Others,0,RP4176_2,68,68,0,68,0,0,44,56,0,No,05-05-2024,34.89165654
BEN0681,CP14,Male,37,OBC,8th,8,1,Married,Rural,Rajasthan,Bikaner,90863,Dairy,Yes,1.5,Yes,Axis,JanDhan,LN0681_1,EducationLoan,188239,41412,3.5,68,3055,14-08-2023,29-01-2024,No,No,SkillCourse,Education,0,RP0681_1,68,68,0,68,0,0,15,76,0,No,09-07-2024,33.55831793
BEN2572,CP12,Female,19,OBC,Graduate,5,0,Married,Rural,Gujarat,Ahmedabad,81820,ForestProduct,Yes,3.8,Yes,PNB,JanDhan,LN2572_1,EducationLoan,180582,45145,3.7,68,2947,03-07-2023,28-11-2024,No,Yes,CollegeFee,Education,0,RP2572_1,68,68,0,68,0,0,20,67,0,No,27-07-2024,32.79165282
BEN1812,CP11,Male,32,OBC,5th,6,3,Married,Rural,Jharkhand,Deoghar,52959,Agriculture,Yes,1,Yes,ICICI,JanDhan,LN1812_2,DairyLoan,158877,34952,4.7,66,2736,31-10-2025,19-11-2025,No,No,FeedPurchase,Agriculture,0,RP1812_2,66,66,0,66,0,0,27,49,0,No,30-11-2025,35.05830375
BEN2255,CP17,Male,52,General,5th,4,0,Married,Urban,Rajasthan,Udaipur,84659,Farming,Yes,0,Yes,ICICI,Savings,LN2255_2,StartupLoan,253977,50795,6,66,4527,20-07-2023,28-05-2024,Yes,Yes,GeneralPurpose,Others,0,RP2255_2,66,66,0,66,0,0,8,5,0,No,07-09-2025,34.49999213
BEN0812,CP17,Male,43,OBC,8th,3,0,Married,Urban,Jharkhand,Bokaro,132413,Agriculture,Yes,0,Yes,HDFC,JanDhan,LN0812_2,DairyLoan,318290,63658,5.9,66,5659,11-12-2024,28-02-2025,Yes,Yes,Infrastructure,Agriculture,0,RP0812_2,66,66,0,66,0,0,37,32,0,No,10-04-2025,33.45833333
BEN0455,CP09,Male,18,General,8th,7,2,Married,Rural,Odisha,Puri,59303,Manufacturing,Yes,0.9,Yes,IndianBank,JanDhan,LN0455_2,DairyLoan,177909,39139,4.7,64,3148,18-07-2025,29-08-2025,No,Yes,FeedPurchase,Agriculture,0,RP0455_2,64,64,0,64,0,0,7,2,0,No,15-11-2025,35.05830579
BEN0223,CP16,Male,48,General,8th,3,2,Married,Rural,Rajasthan,Jaipur,71117,Agriculture,Yes,3.1,Yes,ICICI,Savings,LN0223_1,StartupLoan,213351,46937,7.2,64,4024,25-08-2024,15-09-2024,Yes,Yes,GeneralPurpose,Others,0,RP0223_1,64,64,0,64,0,0,6,20,0,No,19-09-2025,32.09999484
BEN3496,CP20,Male,59,OBC,10th,5,0,Married,Urban,Gujarat,Ahmedabad,128072,Agriculture,No,0,Yes,SBI,JanDhan,LN3496_1,DairyLoan,134159,20123,5,64,2392,29-08-2023,25-06-2024,No,Yes,FeedPurchase,Agriculture,0,RP3496_1,64,64,0,64,0,0,8,8,0,No,17-10-2025,24.30858118
BEN1871,CP10,Female,64,OBC,8th,6,3,Married,Urban,Maharashtra,Nashik,131362,Farming,Yes,0,Yes,ICICI,JanDhan,LN1871_2,DairyLoan,237297,54578,4.9,63,4279,11-07-2024,04-01-2025,Yes,Yes,DairyEquipment,Agriculture,0,RP1871_2,63,63,0,63,0,0,12,14,0,No,04-10-2025,36.19166013
BEN2073,CP03,Female,64,SC,8th,7,5,Married,Rural,Chhattisgarh,Bilaspur,134504,Tailoring,Yes,1.4,Yes,PNB,JanDhan,LN2073_1,StartupLoan,403512,121053,6.8,63,7634,25-08-2023,16-06-2025,Yes,Yes,GeneralPurpose,Others,0,RP2073_1,63,63,0,63,0,0,11,20,0,No,12-11-2025,35.3333259
