beneficiary_id,income_category,household_size,months_present_count,units_consumed_mean,units_consumed_median,units_consumed_mode,units_consumed_std,units_consumed_max,units_consumed_min,electricitybilling_amount_mean,electricitybilling_amount_median,electricitybilling_amount_mode,electricitybilling_amount_std,electricitybilling_amount_max,electricitybilling_amount_min,gas_refill_amt_mean,gas_refill_amt_median,gas_refill_amt_mode,gas_refill_amt_std,gas_refill_amt_max,gas_refill_amt_min,gas_refill_subsidy_amt_mean,gas_refill_subsidy_amt_median,gas_refill_subsidy_amt_mode,gas_refill_subsidy_amt_std,gas_refill_subsidy_amt_max,gas_refill_subsidy_amt_min,mobilerechargeamount_mean,mobilerechargeamount_median,mobilerechargeamount_mode,mobilerechargeamount_std,mobilerechargeamount_max,mobilerechargeamount_min,mobile_recharge_number,data_confidence_score,timestamp,units_per_capita,electricity_bill_per_capita,gas_bill_per_capita,mobile_bill_per_capita,cost_per_unit_electricity,subsidy_ratio,average_recharge_value,total_monthly_utility_spend,electricity_cv,mobile_cv,is_data_rich,missing_electricity,missing_gas,missing_mobile,interaction_elec_hh
BEN_26440,Low,3,5,82.7,78.42,74.83,26.26,120.43,64.46,456.55,466.01,465.51,102.0,615.44,351.59,1059.45,1059.45,1059.45,105.94,1112.45,1002.45,354,354,354,30,354,354,348,357.66,301.48,96.69,533.92,140.98,4,99.48,2023-05-22,27.57,152.18,353.15,116.0,5.52,0.33,348,1864.0,0.32,0.28,1,0,0,1,248.1
BEN_22029,Low,4,5,200.54,204.4,193.14,67.64,298.44,101.78,1179.71,1087.26,998.24,164.79,2179.67,804.48,734.9,734.9,734.9,73.49,760.9,652.9,0,0,0,0,0,0,2224,2414.82,2559.97,470.51,3994.35,1307.23,3,100.0,2023-09-02,50.13,294.93,183.72,556.0,5.88,0.0,2224,4138.61,0.34,0.21,1,0,0,1,802.15
BEN_06189,Low,3,5,166.59,168.41,171.19,61.97,212.67,116.3,886.52,946.19,984.6,143.49,1351.85,402.17,782.13,782.13,782.13,78.21,842.13,686.13,231,231,231,30,231,231,283,286.94,257.62,75.76,549.42,157.87,4,94.05,2023-08-05,55.53,295.51,260.71,94.33,5.32,0.3,283,1951.65,0.37,0.27,1,0,2,0,499.77
BEN_01415,Low,3,3,58.17,59.25,52.08,12.89,80.13,33.72,298.37,302.57,245.67,65.73,576.95,199.9,1286.25,1286.25,1286.25,128.63,1372.25,1193.25,0,0,0,0,0,0,368,397.71,378.42,133.78,574.52,278.64,3,73.29,2023-01-28,19.39,99.46,428.75,122.67,5.13,0.0,368,1952.62,0.22,0.36,0,2,1,1,174.5
BEN_01805,High,6,4,284.46,264.6,227.72,104.97,528.65,142.82,2302.46,2090.47,2304.36,591.79,3258.69,1067.54,934.9,934.9,934.9,93.49,974.9,881.9,0,0,0,0,0,0,1711,1583.57,1813.39,634.51,2736.68,867.88,2,88.29,2023-12-06,47.41,383.74,155.82,285.17,8.09,0.0,1711,4948.36,0.37,0.37,1,1,1,1,1706.77
BEN_12616,Medium,5,4,243.97,250.41,220.33,85.98,382.9,112.81,2000.72,2192.07,2319.53,282.5,3801.88,1423.07,931.2,931.2,931.2,93.12,956.2,867.2,0,0,0,0,0,0,398,383.76,412.55,85.85,481.11,195.66,2,95.38,2023-11-07,48.79,400.14,186.24,79.6,8.2,0.0,398,3329.92,0.35,0.22,1,1,0,2,1219.85
BEN_15178,High,4,4,635.9,683.57,746.18,116.02,1126.02,428.76,3702.27,3794.9,4313.92,856.08,6478.77,2156.0,806.22,806.22,806.22,80.62,850.22,738.22,0,0,0,0,0,0,1476,1609.25,1308.39,555.22,2352.04,1152.35,1,100.0,2023-08-07,158.97,925.57,201.56,369.0,5.82,0.0,1476,5984.49,0.18,0.38,1,1,1,1,2543.58
BEN_17638,High,7,4,495.52,466.19,438.42,166.34,862.34,274.5,2490.4,2600.89,2777.69,538.84,4728.69,1481.29,1208.51,1208.51,1208.51,120.85,1306.51,1185.51,0,0,0,0,0,0,1671,1718.27,1697.3,588.4,2236.87,720.55,4,80.36,2023-07-20,70.79,355.77,172.64,238.71,5.03,0.0,1671,5369.91,0.34,0.35,1,1,1,0,3468.66
BEN_12610,High,4,3,738.22,778.91,723.06,264.1,1196.28,582.46,4659.5,4457.79,4542.43,1276.74,8326.0,2675.12,901.84,901.84,901.84,90.18,942.84,814.84,0,0,0,0,0,0,680,700.29,724.22,171.03,1083.34,411.93,3,79.04,2023-05-17,184.56,1164.88,225.46,170.0,6.31,0.0,680,6241.34,0.36,0.25,0,2,1,0,2952.88
BEN_12145,High,7,4,614.81,629.21,687.14,169.48,781.22,321.21,2551.31,2605.32,2986.97,712.47,3903.3,1309.31,1199.22,1199.22,1199.22,119.92,1292.22,1119.22,0,0,0,0,0,0,1216,1325.2,1136.03,289.62,1838.11,959.18,4,83.77,2022-12-31,87.83,364.47,171.32,173.71,4.15,0.0,1216,4966.53,0.28,0.24,1,1,0,1,4303.69
BEN_06114,Medium,7,5,88.41,81.58,82.82,21.48,135.5,52.43,381.84,344.63,409.98,40.79,572.72,255.9,1142.53,1142.53,1142.53,114.25,1240.53,1100.53,0,0,0,0,0,0,443,443.64,419.05,108.65,847.12,300.56,3,82.66,2023-01-28,12.63,54.55,163.22,63.29,4.32,0.0,443,1967.37,0.24,0.25,1,0,0,0,618.9
BEN_15909,Medium,6,3,113.09,116.18,128.9,20.42,219.89,56.61,951.28,958.24,903.7,96.37,1697.85,631.04,1101.42,1101.42,1101.42,110.14,1134.42,1002.42,0,0,0,0,0,0,472,500.65,426.91,150.38,582.98,369.95,3,93.49,2023-08-29,18.85,158.55,183.57,78.67,8.41,0.0,472,2524.7,0.18,0.32,0,2,1,0,678.53
BEN_00822,Low,6,3,228.66,242.02,240.42,36.62,401.36,113.92,1635.09,1685.79,1520.57,485.17,2159.19,675.76,831.0,831.0,831.0,83.1,860.0,773.0,0,0,0,0,0,0,473,462.62,531.76,155.53,773.56,268.65,4,92.75,2023-03-17,38.11,272.52,138.5,78.83,7.15,0.0,473,2939.1,0.16,0.33,0,2,0,3,1371.99
BEN_15119,Low,7,5,252.96,242.14,211.41,78.49,333.47,120.47,1431.01,1547.86,1545.69,325.49,2728.22,870.51,1038.33,1038.33,1038.33,103.83,1075.33,1004.33,296,296,296,30,296,296,366,381.95,307.21,75.7,453.58,166.61,4,82.82,2023-08-06,36.14,204.43,148.33,52.29,5.66,0.29,366,2835.33,0.31,0.21,1,0,0,1,1770.73
BEN_13467,Low,7,4,57.92,53.47,50.78,13.01,86.29,32.91,379.41,353.3,372.71,48.06,697.24,160.29,740.93,740.93,740.93,74.09,814.93,715.93,0,0,0,0,0,0,151,153.4,142.57,56.4,213.05,99.29,2,97.97,2023-09-03,8.27,54.2,105.85,21.57,6.55,0.0,151,1271.34,0.22,0.37,1,1,1,0,405.42
BEN_09831,Low,4,1,275.18,275.18,275.18,0.0,275.18,275.18,2388.87,2388.87,2388.87,0.0,2388.87,2388.87,816.45,816.45,816.45,81.65,849.45,790.45,182,182,182,30,182,182,352,352.74,340.66,101.09,670.54,153.97,3,66.04,2024-05-26,68.8,597.22,204.11,88.0,8.68,0.22,352,3557.32,0.0,0.29,0,4,1,1,1100.72
BEN_25445,Low,5,2,166.88,173.47,175.74,66.54,266.67,124.74,652.67,711.03,776.54,90.69,923.96,485.78,1072.31,1072.31,1072.31,107.23,1137.31,1049.31,207,207,207,30,207,207,158,163.68,139.62,57.66,189.83,96.03,1,94.87,2023-07-06,33.38,130.53,214.46,31.6,3.91,0.19,158,1882.98,0.4,0.36,0,3,0,0,834.39
BEN_13522,Medium,3,5,300.97,311.74,266.03,86.46,567.71,154.25,3059.97,2801.63,2652.23,626.92,5169.98,2118.88,1260.56,1260.56,1260.56,126.06,1283.56,1199.56,153,153,153,30,153,153,2306,2294.39,1954.64,598.42,2924.81,1203.15,1,91.32,2024-06-09,100.32,1019.99,420.19,768.67,10.17,0.12,2306,6626.53,0.29,0.26,1,0,1,0,902.9
BEN_20571,High,7,5,479.57,523.87,569.81,76.61,675.43,219.29,4502.82,4793.55,4316.99,1100.07,7365.62,2335.06,878.12,878.12,878.12,87.81,977.12,839.12,284,284,284,30,284,284,1645,1571.11,1500.13,411.73,2224.24,1154.35,1,100.0,2023-04-28,68.51,643.26,125.45,235.0,9.39,0.32,1645,7025.93,0.16,0.25,1,0,0,0,3356.97
BEN_16443,Medium,4,5,186.01,179.77,204.95,57.87,267.46,102.08,889.11,972.05,788.46,153.23,1496.01,690.2,970.41,970.41,970.41,97.04,1011.41,880.41,0,0,0,0,0,0,298,274.01,348.35,104.77,488.34,134.06,2,90.73,2024-06-08,46.5,222.28,242.6,74.5,4.78,0.0,298,2157.51,0.31,0.35,1,0,1,1,744.04
BEN_19814,Medium,7,5,249.58,261.27,229.01,61.69,416.57,113.78,926.87,992.46,827.36,268.82,1752.43,666.99,1132.33,1132.33,1132.33,113.23,1164.33,1070.33,270,270,270,30,270,270,380,370.79,330.56,119.08,597.74,152.88,4,91.32,2022-12-01,35.65,132.41,161.76,54.29,3.71,0.24,380,2439.2,0.25,0.31,1,0,3,0,1747.03
BEN_07482,Low,7,5,171.85,160.6,139.78,55.77,244.05,101.95,1330.59,1398.94,1455.48,367.72,2183.47,667.11,923.36,923.36,923.36,92.34,964.36,859.36,383,383,383,30,383,383,394,404.38,396.91,93.22,696.33,220.98,1,100.0,2024-06-23,24.55,190.08,131.91,56.29,7.74,0.41,394,2647.95,0.32,0.24,1,0,0,1,1202.92
BEN_05504,Medium,2,4,300.35,281.42,243.12,88.21,479.69,121.26,1867.8,1860.98,2219.46,267.92,2496.92,966.73,948.06,948.06,948.06,94.81,1011.06,902.06,0,0,0,0,0,0,880,965.67,946.9,225.92,1752.09,600.92,2,90.27,2023-01-10,150.18,933.9,474.03,440.0,6.22,0.0,880,3695.86,0.29,0.26,1,1,1,1,600.71
BEN_03919,Medium,6,4,194.59,192.69,165.49,76.6,281.15,143.47,820.73,760.88,832.19,150.65,1465.27,648.68,881.92,881.92,881.92,88.19,915.92,813.92,0,0,0,0,0,0,293,265.84,343.3,103.97,409.33,149.24,3,95.38,2023-03-16,32.43,136.79,146.99,48.83,4.22,0.0,293,1995.66,0.39,0.35,1,1,0,0,1167.56
BEN_21812,Low,2,4,97.38,90.27,83.33,35.46,149.88,71.63,475.4,476.87,444.95,67.89,894.19,220.53,992.41,992.41,992.41,99.24,1080.41,940.41,0,0,0,0,0,0,2398,2511.92,1918.53,574.71,3291.87,1456.67,2,100.0,2023-02-07,48.69,237.7,496.21,1199.0,4.88,0.0,2398,3865.82,0.36,0.24,1,1,2,1,194.77
BEN_04457,Low,6,4,100.77,101.36,95.38,33.68,175.15,48.47,549.96,530.59,440.24,140.04,864.5,256.59,698.8,698.8,698.8,69.88,760.8,613.8,151,151,151,30,151,151,443,456.22,500.75,168.25,837.1,199.78,3,85.74,2023-10-14,16.79,91.66,116.47,73.83,5.46,0.22,443,1691.76,0.33,0.38,1,1,3,1,604.61
BEN_33051,Medium,4,4,317.46,313.18,342.66,61.53,567.93,251.08,2583.13,2519.06,2727.17,759.47,3487.5,1209.39,1104.98,1104.98,1104.98,110.5,1163.98,1035.98,291,291,291,30,291,291,350,367.33,416.77,91.3,478.13,140.71,2,100.0,2022-12-16,79.37,645.78,276.25,87.5,8.14,0.26,350,4038.12,0.19,0.26,1,1,1,0,1269.84
BEN_25628,High,5,5,491.79,463.13,564.67,183.01,909.79,352.68,3957.71,4290.13,4735.34,403.11,7582.42,2445.73,972.09,972.09,972.09,97.21,1037.09,900.09,0,0,0,0,0,0,1163,1184.25,1275.7,447.84,2184.2,622.78,4,87.55,2023-01-10,98.36,791.54,194.42,232.6,8.05,0.0,1163,6092.8,0.37,0.39,1,0,1,2,2458.94
BEN_30943,Low,3,5,161.22,175.65,143.19,42.8,282.47,68.18,1280.93,1159.06,1057.18,175.83,1782.32,612.66,1073.25,1073.25,1073.25,0.0,1073.25,1073.25,184,184,184,0,184,184,217,223.61,184.62,79.09,409.92,112.53,4,87.72,2023-01-10,53.74,426.98,357.75,72.33,7.95,0.17,217,2571.18,0.27,0.36,1,0,4,2,483.67
BEN_11077,Medium,7,4,430.17,400.34,387.81,100.67,811.58,178.22,2069.21,1910.02,1924.46,330.68,2880.23,953.44,1004.07,1004.07,1004.07,100.41,1093.07,905.07,0,0,0,0,0,0,709,750.58,835.02,219.81,1006.65,419.08,2,75.51,2023-06-23,61.45,295.6,143.44,101.29,4.81,0.0,709,3782.28,0.23,0.31,1,1,2,2,3011.19
BEN_24848,Low,4,3,109.95,106.57,94.17,30.13,134.5,46.9,563.77,588.41,579.82,137.16,1041.39,447.67,1199.5,1199.5,1199.5,119.95,1296.5,1106.5,191,191,191,30,191,191,159,155.32,159.45,60.24,294.25,81.69,4,98.29,2023-02-22,27.49,140.94,299.88,39.75,5.13,0.16,159,1922.27,0.27,0.38,0,2,0,0,439.81
BEN_05396,High,3,5,702.51,690.21,653.48,157.85,1363.47,524.64,6995.56,6312.84,6680.41,1880.16,13232.49,3573.55,1223.76,1223.76,1223.76,122.38,1267.76,1140.76,0,0,0,0,0,0,1051,1068.36,985.29,418.77,1605.63,475.73,4,83.67,2023-06-22,234.17,2331.85,407.92,350.33,9.96,0.0,1051,9270.33,0.22,0.4,1,0,1,3,2107.53
BEN_09414,Low,3,5,187.95,172.64,204.74,44.81,258.06,150.15,1474.49,1558.42,1682.79,360.69,2644.48,900.92,736.51,736.51,736.51,73.65,775.51,678.51,0,0,0,0,0,0,378,365.71,374.29,94.69,495.15,173.47,3,85.95,2023-08-14,62.65,491.5,245.5,126.0,7.85,0.0,378,2589.0,0.24,0.25,1,0,1,3,563.84
BEN_21674,Medium,6,5,97.5,91.14,91.4,16.69,165.78,47.41,483.31,490.49,509.83,132.81,720.95,273.96,894.63,894.63,894.63,89.46,960.63,814.63,422,422,422,30,422,422,2315,2483.97,2754.11,875.03,3276.7,1820.59,1,88.01,2023-04-21,16.25,80.55,149.11,385.83,4.96,0.47,2315,3692.94,0.17,0.38,1,0,2,1,585.02
BEN_13597,High,6,3,628.7,618.06,725.17,98.42,1169.89,464.89,5184.68,5666.94,6192.42,557.51,9991.82,2405.59,929.53,929.53,929.53,92.95,980.53,838.53,263,263,263,30,263,263,976,886.93,1064.13,251.61,1388.07,446.95,3,79.27,2024-01-15,104.78,864.11,154.92,162.67,8.25,0.28,976,7090.21,0.16,0.26,0,2,1,0,3772.19
BEN_24586,High,4,5,728.57,791.96,722.11,258.39,1081.17,581.26,4170.18,4298.9,4538.54,527.26,6152.32,2397.22,917.41,917.41,917.41,91.74,991.41,840.41,0,0,0,0,0,0,1798,1813.81,1930.13,692.95,2422.63,1416.13,2,100.0,2023-06-30,182.14,1042.55,229.35,449.5,5.72,0.0,1798,6885.6,0.35,0.39,1,0,0,0,2914.3
BEN_14645,Low,2,4,230.06,210.84,269.86,61.17,415.4,147.64,1319.72,1439.88,1527.95,273.67,1889.58,581.37,965.57,965.57,965.57,96.56,1022.57,926.57,0,0,0,0,0,0,394,383.34,465.29,145.67,614.94,171.11,3,91.1,2023-07-02,115.03,659.86,482.79,197.0,5.74,0.0,394,2679.29,0.27,0.37,1,1,2,0,460.11
BEN_09669,Low,7,5,45.36,48.55,53.46,7.91,82.85,34.83,139.14,133.69,124.08,15.08,190.89,99.52,974.47,974.47,974.47,97.45,1023.47,947.47,0,0,0,0,0,0,476,479.67,524.89,104.53,746.06,230.46,2,90.44,2023-12-31,6.48,19.88,139.21,68.0,3.07,0.0,476,1589.62,0.17,0.22,1,0,1,1,317.49
BEN_11436,High,7,5,409.73,429.86,420.71,123.28,658.78,225.01,1379.55,1512.97,1584.88,177.87,2357.41,590.42,764.09,764.09,764.09,76.41,786.09,672.09,268,268,268,30,268,268,1563,1658.76,1845.44,361.75,2623.45,764.72,4,100.0,2024-08-02,58.53,197.08,109.16,223.29,3.37,0.35,1563,3706.65,0.3,0.23,1,0,0,1,2868.08
BEN_00857,Low,7,5,236.09,241.84,218.36,90.68,290.42,129.94,1721.92,1845.94,1825.34,254.83,2342.75,1199.49,782.85,782.85,782.85,78.29,842.85,748.85,197,197,197,30,197,197,152,166.99,165.46,57.34,241.59,66.7,2,99.99,2023-09-04,33.73,245.99,111.84,21.71,7.29,0.25,152,2656.77,0.38,0.38,1,0,2,2,1652.6
BEN_08046,Medium,6,4,288.85,308.64,258.66,70.04,440.53,169.56,2071.15,1928.0,1977.89,601.43,2884.44,1176.57,1005.96,1005.96,1005.96,100.6,1104.96,906.96,402,402,402,30,402,402,474,511.17,484.46,172.34,881.78,253.67,2,98.81,2023-12-04,48.14,345.19,167.66,79.0,7.17,0.4,474,3551.1,0.24,0.36,1,1,2,1,1733.08
BEN_23819,High,4,1,552.76,552.76,552.76,0.0,552.76,552.76,4535.4,4535.4,4535.4,0.0,4535.4,4535.4,847.39,847.39,847.39,84.74,883.39,762.39,0,0,0,0,0,0,1633,1499.17,1707.54,624.44,2029.39,1075.16,2,70.99,2023-08-03,138.19,1133.85,211.85,408.25,8.2,0.0,1633,7015.79,0.0,0.38,0,4,3,2,2211.04
BEN_03851,High,4,4,151.46,146.68,166.62,52.96,197.3,114.12,929.21,913.11,1056.1,174.3,1785.58,640.72,1033.81,1033.81,1033.81,103.38,1090.81,995.81,241,241,241,30,241,241,90,91.74,72.45,20.04,127.89,51.06,4,91.21,2022-12-09,37.86,232.3,258.45,22.5,6.14,0.23,90,2053.01,0.35,0.22,1,1,1,1,605.83
BEN_23374,High,7,5,413.31,433.95,469.53,147.02,699.88,271.52,4702.06,4339.04,4128.56,1212.6,8792.78,1927.73,898.92,898.92,898.92,89.89,980.92,807.92,0,0,0,0,0,0,43,42.12,44.06,15.33,63.53,29.55,2,90.96,2022-12-28,59.04,671.72,128.42,6.14,11.38,0.0,43,5643.98,0.36,0.36,1,0,0,1,2893.19
BEN_15268,Medium,2,5,352.67,359.0,342.67,57.98,660.65,264.95,2325.24,2384.63,2062.15,651.7,4556.1,1352.47,1084.85,1084.85,1084.85,108.49,1165.85,1018.85,0,0,0,0,0,0,283,304.6,275.25,75.8,429.57,175.2,1,100.0,2023-02-15,176.33,1162.62,542.43,141.5,6.59,0.0,283,3693.09,0.16,0.27,1,0,0,1,705.34
BEN_32480,High,3,3,461.74,469.37,428.12,70.93,798.17,191.24,4154.0,4328.43,4434.78,569.23,7077.52,2295.24,1012.17,1012.17,1012.17,101.22,1106.17,958.17,0,0,0,0,0,0,1810,1878.88,1689.83,704.82,2950.49,777.98,4,74.23,2023-07-25,153.91,1384.67,337.39,603.33,9.0,0.0,1810,6976.17,0.15,0.39,0,2,0,1,1385.23
BEN_13335,Low,4,4,173.68,156.54,146.48,40.84,285.88,137.67,1537.03,1620.89,1550.45,262.58,1882.63,1089.77,1053.82,1053.82,1053.82,105.38,1090.82,954.82,0,0,0,0,0,0,355,383.81,409.02,88.41,490.92,260.7,3,92.24,2023-06-27,43.42,384.26,263.46,88.75,8.85,0.0,355,2945.86,0.24,0.25,1,1,2,0,694.72
BEN_29260,Low,3,4,45.09,46.68,45.06,9.15,66.28,18.68,211.19,207.83,245.94,62.79,317.28,107.05,969.24,969.24,969.24,96.92,1026.24,914.24,0,0,0,0,0,0,297,323.52,288.69,82.57,383.3,188.04,4,86.0,2023-09-09,15.03,70.4,323.08,99.0,4.68,0.0,297,1477.43,0.2,0.28,1,1,0,0,135.28
BEN_27158,Low,5,5,225.18,238.5,211.78,51.44,415.27,90.6,1046.63,1113.79,1175.79,281.01,1515.41,790.99,1156.75,1156.75,1156.75,115.68,1254.75,1060.75,402,402,402,30,402,402,372,370.71,387.6,91.38,568.66,151.81,1,91.05,2023-03-27,45.04,209.33,231.35,74.4,4.65,0.35,372,2575.38,0.23,0.25,1,0,0,1,1125.91
BEN_00574,Medium,1,5,105.46,112.38,101.02,37.01,141.73,56.6,323.38,337.83,344.85,60.05,545.08,145.21,1138.81,1138.81,1138.81,113.88,1206.81,1092.81,200,200,200,30,200,200,2938,3074.24,3384.08,1135.12,5212.85,1444.38,4,90.0,2023-09-05,105.46,323.38,1138.81,2938.0,3.07,0.18,2938,4400.19,0.35,0.39,1,0,0,1,105.46
BEN_04893,Medium,6,3,195.75,213.6,178.67,59.09,253.04,147.67,1183.12,1149.71,1415.68,262.33,1639.64,839.0,756.69,756.69,756.69,75.67,791.69,663.69,0,0,0,0,0,0,2438,2611.97,2536.38,497.05,3602.78,1479.65,3,73.37,2023-07-11,32.63,197.19,126.11,406.33,6.04,0.0,2438,4377.81,0.3,0.2,0,2,0,2,1174.52
BEN_00726,Medium,7,5,160.25,167.92,187.07,48.05,237.96,110.19,1437.96,1503.57,1659.92,396.86,2556.48,1079.13,1263.42,1263.42,1263.42,126.34,1343.42,1241.42,160,160,160,30,160,160,334,353.17,336.4,82.67,440.79,191.73,2,100.0,2023-01-23,22.89,205.42,180.49,47.71,8.97,0.13,334,3035.38,0.3,0.25,1,0,0,0,1121.74
BEN_06283,Medium,6,2,203.4,202.44,213.92,49.29,375.96,103.68,1347.43,1259.66,1140.09,181.7,1872.05,671.55,1137.08,1137.08,1137.08,113.71,1169.08,1094.08,0,0,0,0,0,0,538,551.66,557.52,198.3,772.59,306.82,4,86.51,2023-12-26,33.9,224.57,189.51,89.67,6.62,0.0,538,3022.51,0.24,0.37,0,3,0,0,1220.41
BEN_17991,Medium,5,5,334.24,320.28,321.16,103.91,633.41,266.83,1359.34,1396.11,1614.12,176.15,1812.24,796.68,1035.04,1035.04,1035.04,103.5,1087.04,993.04,333,333,333,30,333,333,759,715.87,844.22,294.48,1189.25,521.27,1,94.54,2023-09-03,66.85,271.87,207.01,151.8,4.07,0.32,759,3153.38,0.31,0.39,1,0,0,1,1671.21
BEN_20547,Medium,4,4,297.1,308.9,312.74,45.8,474.78,228.95,2456.72,2581.22,2927.47,426.54,4464.8,1460.44,1250.24,1250.24,1250.24,125.02,1287.24,1182.24,0,0,0,0,0,0,495,461.05,435.4,114.57,662.25,379.21,2,86.12,2023-08-19,74.28,614.18,312.56,123.75,8.27,0.0,495,4201.96,0.15,0.23,1,1,0,2,1188.4
BEN_03638,High,4,4,98.51,94.65,84.47,18.9,181.04,65.25,1044.32,1123.14,908.41,294.03,1745.62,511.98,844.13,844.13,844.13,84.41,936.13,772.13,0,0,0,0,0,0,834,752.31,993.33,195.68,1483.35,380.75,4,100.0,2024-02-14,24.63,261.08,211.03,208.5,10.6,0.0,834,2722.46,0.19,0.23,1,1,0,2,394.05
BEN_15270,High,3,4,176.44,159.56,202.1,66.93,214.48,75.3,1174.57,1141.9,1243.51,123.03,2303.09,765.19,741.84,741.84,741.84,74.18,823.84,717.84,402,402,402,30,402,402,725,695.15,746.36,261.73,1421.94,346.06,4,99.59,2023-04-24,58.81,391.52,247.28,241.67,6.66,0.54,725,2641.42,0.38,0.36,1,1,0,0,529.33
